uniquename	name	refseq_id
FBtr0070065	cin-RA	REFSEQ:NM_057682
FBtr0070066	CG3777-RB	REFSEQ:NM_130483
FBtr0070067	CG3777-RA	REFSEQ:NM_166840
FBtr0070068	CG3777-RC	REFSEQ:NM_166841
FBtr0070069	CG12470-RA	REFSEQ:NM_130482
FBtr0070070	Or1a-RA	REFSEQ:NM_080290
FBtr0070071	y-RA	REFSEQ:NM_057444
FBtr0070072	ac-RA	REFSEQ:NM_057476
FBtr0070073	sc-RA	REFSEQ:NM_057455
FBtr0070074	l(1)sc-RA	REFSEQ:NM_057275
FBtr0070075	ase-RA	REFSEQ:NM_057346
FBtr0070076	CG13373-RA	REFSEQ:NM_130484
FBtr0070077	CG32817-RA	REFSEQ:NM_166842
FBtr0070078	CG3176-RA	REFSEQ:NM_130486
FBtr0070079	CG3156-RA	REFSEQ:NM_130488
FBtr0070080	CG17778-RA	REFSEQ:NM_130490
FBtr0070081	svr-RB	REFSEQ:NM_080293
FBtr0070084	svr-RD	REFSEQ:NM_206599
FBtr0070085	svr-RE	REFSEQ:NM_206598
FBtr0070086	svr-RF	REFSEQ:NM_206597
FBtr0070087	svr-RG	REFSEQ:NM_206596
FBtr0070088	Arg-RA	REFSEQ:NM_080136
FBtr0070089	CG4293-RA	REFSEQ:NM_130491
FBtr0070090	CG4293-RB	REFSEQ:NM_166847
FBtr0070091	elav-RA	REFSEQ:NM_080294
FBtr0070092	CG17896-RB	REFSEQ:NM_130489
FBtr0070093	CG17896-RA	REFSEQ:NM_166844
FBtr0070094	CG18273-RA	REFSEQ:NM_130487
FBtr0070095	CR18166-RA	REFSEQ:NM_166843
FBtr0070097	CR18275-RA	REFSEQ:NM_130485
FBtr0070098	ebo-RA	REFSEQ:NM_080140
FBtr0070099	Cyp4g1-RA	REFSEQ:NM_080292
FBtr0070100	Pgcl-RA	REFSEQ:NM_080291
FBtr0070101	CG32816-RB	REFSEQ:NM_166839
FBtr0070102	CG32816-RA	REFSEQ:NM_166838
FBtr0070103	CG13375-RA	REFSEQ:NM_130481
FBtr0070106	CG13377-RA	REFSEQ:NM_130479
FBtr0070107	CG3038-RB	REFSEQ:NM_166834
FBtr0070108	CG3038-RA	REFSEQ:NM_130477
FBtr0070109	Appl-RA	REFSEQ:NM_057278
FBtr0070110	vnd-RA	REFSEQ:NM_057438
FBtr0070115	CG13369-RA	REFSEQ:NM_130494
FBtr0070116	Hinfp-RA	REFSEQ:NM_143797
FBtr0070117	Hinfp-RC	REFSEQ:NM_166852
FBtr0070118	Hinfp-RB	REFSEQ:NM_166851
FBtr0070119	Mybbp1A-RA	REFSEQ:NM_057245
FBtr0070120	su(sable)-RA	REFSEQ:NM_057406
FBtr0070121	CG13367-RA	REFSEQ:NM_130495
FBtr0070122	Roc1a-RA	REFSEQ:NM_130496
FBtr0070123	SkpA-RA	REFSEQ:NM_058042
FBtr0070124	SkpA-RD	REFSEQ:NM_166858
FBtr0070125	SkpA-RG	REFSEQ:NM_166861
FBtr0070126	SkpA-RB	REFSEQ:NM_166856
FBtr0070127	SkpA-RC	REFSEQ:NM_166857
FBtr0070128	SkpA-RF	REFSEQ:NM_166860
FBtr0070129	SkpA-RE	REFSEQ:NM_166859
FBtr0070130	sdk-RD	REFSEQ:NM_134315
FBtr0070131	sdk-RC	REFSEQ:NM_057942
FBtr0070132	sdk-RB	REFSEQ:NM_134314
FBtr0070133	sdk-RA	REFSEQ:NM_057941
FBtr0070134	CG5254-RA	REFSEQ:NM_130500
FBtr0070135	CG5273-RA	REFSEQ:NM_130501
FBtr0070136	CG5273-RC	REFSEQ:NM_166863
FBtr0070137	CG5273-RB	REFSEQ:NM_166862
FBtr0070138	fz3-RA	REFSEQ:NM_080296
FBtr0070139	tw-RA	REFSEQ:NM_130502
FBtr0070141	Sec22-RA	REFSEQ:NM_130507
FBtr0070142	CG14635-RA	REFSEQ:NM_130508
FBtr0070145	CG13359-RA	REFSEQ:NM_130505
FBtr0070146	Rbf-RA	REFSEQ:NM_080297
FBtr0070147	CG13360-RA	REFSEQ:NM_130503
FBtr0070148	RpL22-RA	REFSEQ:NM_057786
FBtr0070149	CG13361-RA	REFSEQ:NM_130499
FBtr0070150	CG13362-RA	REFSEQ:NM_130498
FBtr0070151	Hmt4-20-RA	REFSEQ:NM_130497
FBtr0070155	RpL36-RA	REFSEQ:NM_057281
FBtr0070156	RpL36-RB	REFSEQ:NM_166853
FBtr0070157	RpL36-RD	REFSEQ:NM_166855
FBtr0070158	RpL36-RC	REFSEQ:NM_166854
FBtr0070159	CG13364-RA	REFSEQ:NM_144243
FBtr0070160	CG13365-RA	REFSEQ:NM_130493
FBtr0070161	spdi-RA	REFSEQ:NM_130492
FBtr0070163	CG11664-RA	REFSEQ:NM_130509
FBtr0070164	CG11663-RA	REFSEQ:NM_130512
FBtr0070165	MED22-RA	REFSEQ:NM_130514
FBtr0070167	TRAM-RB	REFSEQ:NM_166867
FBtr0070168	TRAM-RA	REFSEQ:NM_166866
FBtr0070169	TRAM-RC	REFSEQ:NM_166868
FBtr0070170	mus81-RA	REFSEQ:NM_130517
FBtr0070171	CG18823-RA	REFSEQ:NM_145103
FBtr0070172	CG14631-RA	REFSEQ:NM_130522
FBtr0070173	CG3021-RA	REFSEQ:NM_144382
FBtr0070174	Rpp21-RA	REFSEQ:NM_176680
FBtr0070175	CG14630-RA	REFSEQ:NM_143728
FBtr0070176	su(w[a])-RA	REFSEQ:NM_057408
FBtr0070177	su(w[a])-RB	REFSEQ:NM_206601
FBtr0070178	su(w[a])-RC	REFSEQ:NM_206600
FBtr0070179	CG14629-RA	REFSEQ:NM_130525
FBtr0070180	CG14628-RA	REFSEQ:NM_130527
FBtr0070181	CG3655-RA	REFSEQ:NM_130526
FBtr0070182	Cdc45-RA	REFSEQ:NM_130524
FBtr0070183	CG11638-RA	REFSEQ:NM_130523
FBtr0070184	TfIIA-S-2-RA	REFSEQ:NM_130521
FBtr0070185	CG3690-RA	REFSEQ:NM_130520
FBtr0070186	CG3699-RA	REFSEQ:NM_130519
FBtr0070187	CG3703-RA	REFSEQ:NM_130518
FBtr0070188	CG3704-RA	REFSEQ:NM_130516
FBtr0070189	CG3706-RA	REFSEQ:NM_144377
FBtr0070195	CG3713-RA	REFSEQ:NM_144244
FBtr0070197	CG11378-RA	REFSEQ:NM_130530
FBtr0070198	CG11379-RA	REFSEQ:NM_130532
FBtr0070199	CG14627-RA	REFSEQ:NM_130533
FBtr0070200	CG14626-RA	REFSEQ:NM_130534
FBtr0070201	CG11380-RA	REFSEQ:NM_130535
FBtr0070202	CG14625-RB	REFSEQ:NM_130536
FBtr0070203	CG11381-RA	REFSEQ:NM_130538
FBtr0070204	CG14624-RA	REFSEQ:NM_166871
FBtr0070205	CG11382-RB	REFSEQ:NM_130539
FBtr0070206	CG32812-RA	REFSEQ:NM_130543
FBtr0070207	fs(1)N-RA	REFSEQ:NM_130545
FBtr0070209	Naa30A-RA	REFSEQ:NM_166878
FBtr0070211	Tsp2A-RA	REFSEQ:NM_080298
FBtr0070212	CG11417-RA	REFSEQ:NM_130550
FBtr0070213	CG14770-RA	REFSEQ:NM_130551
FBtr0070215	ssx-RB	REFSEQ:NM_206603
FBtr0070216	AMPKalpha-RA	REFSEQ:NM_057965
FBtr0070217	AMPKalpha-RB	REFSEQ:NM_166880
FBtr0070218	AMPKalpha-RC	REFSEQ:NM_206604
FBtr0070219	CG32813-RD	REFSEQ:NM_166885
FBtr0070222	CG32813-RB	REFSEQ:NM_166884
FBtr0070225	Rilpl-RA	REFSEQ:NM_130554
FBtr0070230	Lrpprc2-RA	REFSEQ:NM_130557
FBtr0070231	CG14785-RA	REFSEQ:NM_130556
FBtr0070233	CG3719-RA	REFSEQ:NM_143733
FBtr0070234	png-RA	REFSEQ:NM_058144
FBtr0070235	CG12773-RA	REFSEQ:NM_130549
FBtr0070236	MTPAP-RA	REFSEQ:NM_130548
FBtr0070237	MTPAP-RB	REFSEQ:NM_206602
FBtr0070238	CG11409-RB	REFSEQ:NM_130546
FBtr0070239	DAAM-RB	REFSEQ:NM_166876
FBtr0070241	DAAM-RA	REFSEQ:NM_130544
FBtr0070244	Atf3-RA	REFSEQ:NM_138988
FBtr0070245	CG11403-RA	REFSEQ:NM_130542
FBtr0070249	CG3638-RB	REFSEQ:NM_166873
FBtr0070250	CG11398-RA	REFSEQ:NM_130540
FBtr0070251	CG11384-RA	REFSEQ:NM_130531
FBtr0070252	eIF4E7-RA	REFSEQ:NM_166870
FBtr0070253	CG14777-RB	REFSEQ:NM_130561
FBtr0070254	CG14778-RA	REFSEQ:NM_130562
FBtr0070255	pck-RA	REFSEQ:NM_166887
FBtr0070256	pck-RC	REFSEQ:NM_130563
FBtr0070257	CG14780-RA	REFSEQ:NM_130564
FBtr0070258	mei-38-RA	REFSEQ:NM_130566
FBtr0070259	rush-RA	REFSEQ:NM_130567
FBtr0070260	inc-RB	REFSEQ:NM_130570
FBtr0070261	br-RC	REFSEQ:NM_166897
FBtr0070262	br-RE	REFSEQ:NM_080020
FBtr0070263	br-RB	REFSEQ:NM_166896
FBtr0070265	br-RA	REFSEQ:NM_166894
FBtr0070266	br-RG	REFSEQ:NM_166898
FBtr0070269	dor-RA	REFSEQ:NM_057938
FBtr0070270	hfw-RA	REFSEQ:NM_130577
FBtr0070272	b6-RA	REFSEQ:NM_058017
FBtr0070277	Scgdelta-RA	REFSEQ:NM_080300
FBtr0070278	CG3795-RA	REFSEQ:NM_130583
FBtr0070279	a6-RA	REFSEQ:NM_057961
FBtr0070283	CG3740-RA	REFSEQ:NM_130576
FBtr0070284	Mur2B-RA	REFSEQ:NM_130571
FBtr0070285	CG14795-RB	REFSEQ:NM_130569
FBtr0070288	Nmdar2-RC	REFSEQ:NM_001014714
FBtr0070289	sta-RA	REFSEQ:NM_057402
FBtr0070290	sta-RB	REFSEQ:NM_166889
FBtr0070292	snoRNA:M-RA	REFSEQ:NR_002093
FBtr0070293	Rab27-RB	REFSEQ:NM_166888
FBtr0070294	Rab27-RC	REFSEQ:NM_130565
FBtr0070295	CG32808-RA	REFSEQ:NM_166886
FBtr0070296	O-fut2-RA	REFSEQ:NM_130560
FBtr0070297	Ns3-RA	REFSEQ:NM_130559
FBtr0070298	CG14787-RA	REFSEQ:NM_130558
FBtr0070299	Adar-RA	REFSEQ:NM_130584
FBtr0070300	Adar-RB	REFSEQ:NM_166903
FBtr0070301	CG32806-RA	REFSEQ:NM_166904
FBtr0070308	MED18-RA	REFSEQ:NM_130592
FBtr0070310	CG14803-RA	REFSEQ:NM_130594
FBtr0070311	Vps26-RA	REFSEQ:NM_130596
FBtr0070312	CG14805-RA	REFSEQ:NM_130598
FBtr0070313	Coa8-RA	REFSEQ:NM_130600
FBtr0070314	mRpL16-RA	REFSEQ:NM_080302
FBtr0070315	mip130-RA	REFSEQ:NM_130602
FBtr0070316	Rbcn-3B-RA	REFSEQ:NM_130604
FBtr0070317	Ocrl-RA	REFSEQ:NM_130606
FBtr0070318	unmet-RC	REFSEQ:NM_166916
FBtr0070319	unmet-RA	REFSEQ:NM_130607
FBtr0070320	unmet-RB	REFSEQ:NM_166917
FBtr0070321	CG3587-RA	REFSEQ:NM_130609
FBtr0070326	east-RB	REFSEQ:NM_080125
FBtr0070328	CG4194-RA	REFSEQ:NM_130619
FBtr0070330	Rtca-RA	REFSEQ:NM_130621
FBtr0070331	CG4045-RA	REFSEQ:NM_130622
FBtr0070334	CG4199-RC	REFSEQ:NM_166923
FBtr0070335	CG4199-RD	REFSEQ:NM_130620
FBtr0070336	CG4199-RB	REFSEQ:NM_166922
FBtr0070337	CG4199-RA	REFSEQ:NM_166925
FBtr0070338	CG14054-RA	REFSEQ:NM_130618
FBtr0070339	CG4281-RA	REFSEQ:NM_130617
FBtr0070340	Sik2-RA	REFSEQ:NM_130616
FBtr0070341	moody-RA	REFSEQ:NM_130614
FBtr0070342	CG4325-RA	REFSEQ:NM_130613
FBtr0070343	Actn-RB	REFSEQ:NM_166920
FBtr0070344	Actn-RA	REFSEQ:NM_058136
FBtr0070345	Actn-RC	REFSEQ:NM_058137
FBtr0070346	usp-RA	REFSEQ:NM_057433
FBtr0070347	PIG-K-RA	REFSEQ:NM_130612
FBtr0070349	CG3857-RA	REFSEQ:NM_206607
FBtr0070350	eIF2Bepsilon-RA	REFSEQ:NM_130605
FBtr0070351	eIF2Bepsilon-RB	REFSEQ:NM_206606
FBtr0070352	Edem1-RC	REFSEQ:NM_166915
FBtr0070353	Edem1-RB	REFSEQ:NM_130603
FBtr0070354	Edem1-RA	REFSEQ:NM_166914
FBtr0070355	CG32801-RA	REFSEQ:NM_166913
FBtr0070356	Ldaf1-RA	REFSEQ:NM_130601
FBtr0070362	trr-RC	REFSEQ:NM_080301
FBtr0070363	trr-RD	REFSEQ:NM_166911
FBtr0070364	CG14818-RA	REFSEQ:NM_130599
FBtr0070365	CG14817-RA	REFSEQ:NM_130597
FBtr0070366	Pgam5-RA	REFSEQ:NM_130595
FBtr0070367	Pex5-RA	REFSEQ:NM_166910
FBtr0070368	Pex5-RB	REFSEQ:NM_130593
FBtr0070369	Gcna-RB	REFSEQ:NM_130591
FBtr0070370	Gcna-RA	REFSEQ:NM_166909
FBtr0070371	deltaCOP-RA	REFSEQ:NM_143755
FBtr0070372	Lamtor5-RA	REFSEQ:NM_130590
FBtr0070374	CG14810-RA	REFSEQ:NM_130585
FBtr0070375	CG4025-RA	REFSEQ:NM_130623
FBtr0070376	Unc-76-RB	REFSEQ:NM_130625
FBtr0070377	Unc-76-RA	REFSEQ:NM_166927
FBtr0070378	csw-RA	REFSEQ:NM_057782
FBtr0070379	csw-RB	REFSEQ:NM_057783
FBtr0070380	csw-RC	REFSEQ:NM_166928
FBtr0070381	D2hgdh-RB	REFSEQ:NM_166929
FBtr0070382	D2hgdh-RC	REFSEQ:NM_166930
FBtr0070383	D2hgdh-RA	REFSEQ:NM_130626
FBtr0070384	Pgd-RA	REFSEQ:NM_057512
FBtr0070385	CG3630-RA	REFSEQ:NM_130627
FBtr0070386	ND-B14.5A-RA	REFSEQ:NM_130628
FBtr0070387	Cyp4d2-RA	REFSEQ:NM_080304
FBtr0070388	Cyp4ae1-RA	REFSEQ:NM_080305
FBtr0070389	pn-RA	REFSEQ:NM_057336
FBtr0070390	CG17776-RA	REFSEQ:NM_144252
FBtr0070392	CG3457-RA	REFSEQ:NM_130629
FBtr0070393	Mct1-RA	REFSEQ:NM_057986
FBtr0070396	fs(1)K10-RA	REFSEQ:NM_058143
FBtr0070397	Or2a-RA	REFSEQ:NM_080307
FBtr0070398	CG3071-RA	REFSEQ:NM_130637
FBtr0070399	CG2854-RA	REFSEQ:NM_130643
FBtr0070401	Raf-RA	REFSEQ:NM_080308
FBtr0070402	CG2841-RB	REFSEQ:NM_080022
FBtr0070403	CG2841-RC	REFSEQ:NM_166938
FBtr0070404	CG2841-RA	REFSEQ:NM_166937
FBtr0070405	mRpL14-RA	REFSEQ:NM_080309
FBtr0070406	Ilp6-RA	REFSEQ:NM_130644
FBtr0070407	CG14050-RA	REFSEQ:NM_130642
FBtr0070408	CG2865-RA	REFSEQ:NM_130641
FBtr0070411	Grp170-RA	REFSEQ:NM_130639
FBtr0070412	CG2924-RA	REFSEQ:NM_166935
FBtr0070414	temp-RA	REFSEQ:NM_130636
FBtr0070415	CG3078-RA	REFSEQ:NM_130635
FBtr0070416	CG3091-RA	REFSEQ:NM_130634
FBtr0070417	CG3191-RA	REFSEQ:NM_166934
FBtr0070418	crn-RA	REFSEQ:NM_057770
FBtr0070419	kz-RA	REFSEQ:NM_057243
FBtr0070420	Vinc-RA	REFSEQ:NM_057472
FBtr0070421	SmydA-8-RB	REFSEQ:NM_001014718
FBtr0070422	SmydA-8-RA	REFSEQ:NM_001014717
FBtr0070423	FarO-RA	REFSEQ:NM_143764
FBtr0070424	CG14053-RA	REFSEQ:NM_130630
FBtr0070425	Nmd3-RA	REFSEQ:NM_057984
FBtr0070426	Cyp4d14-RA	REFSEQ:NM_143763
FBtr0070427	Cyp4d1-RB	REFSEQ:NM_166932
FBtr0070428	Cyp4d1-RA	REFSEQ:NM_057559
FBtr0070429	wapl-RA	REFSEQ:NM_080303
FBtr0070430	wapl-RB	REFSEQ:NM_166931
FBtr0070431	bcn92-RA	REFSEQ:NM_057711
FBtr0070432	ph-p-RA	REFSEQ:NM_057523
FBtr0070433	ph-d-RA	REFSEQ:NM_080055
FBtr0070434	CG16903-RA	REFSEQ:NM_130624
FBtr0070435	z-RA	REFSEQ:NM_080312
FBtr0070436	Pdfr-RA	REFSEQ:NM_130651
FBtr0070437	AANATL7-RA	REFSEQ:NM_130653
FBtr0070438	wds-RA	REFSEQ:NM_080245
FBtr0070439	egh-RC	REFSEQ:NM_080313
FBtr0070440	egh-RB	REFSEQ:NM_166946
FBtr0070441	Zw10-RB	REFSEQ:NM_080162
FBtr0070442	Seipin-RA	REFSEQ:NM_130656
FBtr0070445	Tsp3A-RA	REFSEQ:NM_080315
FBtr0070446	eIF3g1-RA	REFSEQ:NM_130655
FBtr0070447	Smyd3-RB	REFSEQ:NM_080029
FBtr0070448	Klp3A-RA	REFSEQ:NM_080314
FBtr0070457	boi-RB	REFSEQ:NM_166940
FBtr0070458	boi-RA	REFSEQ:NM_166941
FBtr0070459	tko-RB	REFSEQ:NM_080311
FBtr0070460	gt-RB	REFSEQ:NM_080310
FBtr0070461	CG32797-RA	REFSEQ:NM_166939
FBtr0070462	CG12496-RA	REFSEQ:NM_130647
FBtr0070466	sgg-RB	REFSEQ:NM_057367
FBtr0070467	sgg-RA	REFSEQ:NM_057366
FBtr0070468	sgg-RE	REFSEQ:NM_166947
FBtr0070469	sgg-RF	REFSEQ:NM_166948
FBtr0070470	sgg-RC	REFSEQ:NM_134278
FBtr0070471	sgg-RD	REFSEQ:NM_057368
FBtr0070472	sgg-RH	REFSEQ:NM_206615
FBtr0070473	sgg-RI	REFSEQ:NM_206614
FBtr0070474	sgg-RJ	REFSEQ:NM_206613
FBtr0070475	sgg-RG	REFSEQ:NM_206612
FBtr0070476	sgg-RK	REFSEQ:NM_206611
FBtr0070477	per-RA	REFSEQ:NM_080317
FBtr0070478	Lint-O-RA	REFSEQ:NM_130662
FBtr0070479	eIF2Bbeta-RA	REFSEQ:NM_130664
FBtr0070480	CG2681-RA	REFSEQ:NM_130666
FBtr0070481	CG2694-RA	REFSEQ:NM_166949
FBtr0070482	CG2694-RB	REFSEQ:NM_130668
FBtr0070484	fs(1)Yb-RA	REFSEQ:NM_058146
FBtr0070485	fs(1)Ya-RA	REFSEQ:NM_058145
FBtr0070486	vilya-RA	REFSEQ:NM_130670
FBtr0070487	dwg-RA	REFSEQ:NM_057990
FBtr0070488	CG2712-RA	REFSEQ:NM_130672
FBtr0070489	CG12498-RA	REFSEQ:NM_130674
FBtr0070490	w-RA	REFSEQ:NM_057439
FBtr0070491	CG32795-RA	REFSEQ:NM_166952
FBtr0070492	CG32795-RB	REFSEQ:NM_130673
FBtr0070493	CG32795-RC	REFSEQ:NM_206617
FBtr0070494	Syx4-RA	REFSEQ:NM_080318
FBtr0070495	crm-RB	REFSEQ:NM_166951
FBtr0070496	crm-RA	REFSEQ:NM_057757
FBtr0070497	ttm50-RA	REFSEQ:NM_130671
FBtr0070498	CG2701-RA	REFSEQ:NM_130669
FBtr0070499	CG2685-RA	REFSEQ:NM_130667
FBtr0070501	Ugalt-RA	REFSEQ:NM_130663
FBtr0070502	Spg7-RA	REFSEQ:NM_130661
FBtr0070504	dyw-RA	REFSEQ:NM_130660
FBtr0070505	CG2652-RA	REFSEQ:NM_130659
FBtr0070506	HLH3B-RA	REFSEQ:NM_080316
FBtr0070507	N-RA	REFSEQ:NM_057511
FBtr0070508	CG3939-RA	REFSEQ:NM_130692
FBtr0070509	dnc-RB	REFSEQ:NM_166960
FBtr0070511	dnc-RI	REFSEQ:NM_166961
FBtr0070512	dnc-RC	REFSEQ:NM_166962
FBtr0070513	dnc-RJ	REFSEQ:NM_166965
FBtr0070515	dnc-RD	REFSEQ:NM_166964
FBtr0070517	dnc-RA	REFSEQ:NM_166967
FBtr0070518	dnc-RE	REFSEQ:NM_166969
FBtr0070519	dnc-RN	REFSEQ:NM_166968
FBtr0070520	dnc-RG	REFSEQ:NM_166970
FBtr0070521	dnc-RF	REFSEQ:NM_080322
FBtr0070522	dnc-RL	REFSEQ:NM_166971
FBtr0070523	ng1-RA	REFSEQ:NM_057307
FBtr0070525	Myc-RA	REFSEQ:NM_080323
FBtr0070526	CG10801-RA	REFSEQ:NM_130702
FBtr0070527	CG12206-RA	REFSEQ:NM_130704
FBtr0070528	CG12206-RB	REFSEQ:NM_166973
FBtr0070529	CG12206-RC	REFSEQ:NM_166974
FBtr0070530	CG16781-RA	REFSEQ:NM_130703
FBtr0070531	CG16782-RA	REFSEQ:NM_130701
FBtr0070532	CG14269-RA	REFSEQ:NM_130700
FBtr0070534	CG12535-RB	REFSEQ:NM_166972
FBtr0070536	CG10793-RA	REFSEQ:NM_130698
FBtr0070537	Pig1-RB	REFSEQ:NM_057329
FBtr0070538	ng4-RA	REFSEQ:NM_057596
FBtr0070539	ng3-RB	REFSEQ:NM_080321
FBtr0070540	ng2-RA	REFSEQ:NM_057593
FBtr0070541	CG14265-RB	REFSEQ:NM_130694
FBtr0070542	Fcp3C-RA	REFSEQ:NM_058134
FBtr0070543	CG18508-RA	REFSEQ:NM_144464
FBtr0070546	CG3526-RA	REFSEQ:NM_166954
FBtr0070550	CG32793-RA	REFSEQ:NM_166957
FBtr0070551	CG3592-RA	REFSEQ:NM_130683
FBtr0070552	CG3598-RA	REFSEQ:NM_130684
FBtr0070553	CG14420-RA	REFSEQ:NM_130685
FBtr0070554	CG14421-RA	REFSEQ:NM_130686
FBtr0070555	CG14422-RA	REFSEQ:NM_130687
FBtr0070556	CG14423-RA	REFSEQ:NM_130688
FBtr0070557	CG17959-RA	REFSEQ:NM_130689
FBtr0070558	CG3603-RA	REFSEQ:NM_130690
FBtr0070559	kirre-RB	REFSEQ:NM_080320
FBtr0070560	kirre-RA	REFSEQ:NM_166958
FBtr0070561	CG4116-RA	REFSEQ:NM_130691
FBtr0070562	rst-RA	REFSEQ:NM_080319
FBtr0070563	CG14424-RA	REFSEQ:NM_130681
FBtr0070564	CG14419-RA	REFSEQ:NM_130678
FBtr0070565	CG14418-RA	REFSEQ:NM_130677
FBtr0070566	CG14417-RA	REFSEQ:NM_130676
FBtr0070567	CG14416-RA	REFSEQ:NM_130675
FBtr0070568	CG10802-RA	REFSEQ:NM_130706
FBtr0070569	CG10803-RA	REFSEQ:NM_130708
FBtr0070570	CG13021-RA	REFSEQ:NM_130711
FBtr0070571	CG13021-RB	REFSEQ:NM_166977
FBtr0070575	AstA-R1-RB	REFSEQ:NM_079961
FBtr0070577	Ilp7-RA	REFSEQ:NM_130714
FBtr0070578	Mnt-RC	REFSEQ:NM_166984
FBtr0070579	Mnt-RA	REFSEQ:NM_166983
FBtr0070582	Rala-RB	REFSEQ:NM_166985
FBtr0070583	Rala-RA	REFSEQ:NM_166986
FBtr0070584	Rala-RC	REFSEQ:NM_080324
FBtr0070586	CG2875-RA	REFSEQ:NM_130713
FBtr0070587	CG2875-RB	REFSEQ:NM_166981
FBtr0070588	DIP-alpha-RA	REFSEQ:NM_166976
FBtr0070589	Gas8-RB	REFSEQ:NM_130709
FBtr0070590	CG14270-RA	REFSEQ:NM_130707
FBtr0070591	CG10804-RA	REFSEQ:NM_166975
FBtr0070592	CG10804-RB	REFSEQ:NM_130705
FBtr0070596	Tlk-RC	REFSEQ:NM_130717
FBtr0070597	HIP-R-RB	REFSEQ:NM_166989
FBtr0070598	HIP-R-RA	REFSEQ:NM_166988
FBtr0070599	Crg-1-RB	REFSEQ:NM_166990
FBtr0070600	HIP-RA	REFSEQ:NM_130718
FBtr0070605	CG2901-RA	REFSEQ:NM_130721
FBtr0070606	ec-RA	REFSEQ:NM_166992
FBtr0070608	CG2930-RD	REFSEQ:NM_176682
FBtr0070609	CG2930-RA	REFSEQ:NM_176683
FBtr0070610	CG2930-RB	REFSEQ:NM_176684
FBtr0070611	VhaAC39-1-RA	REFSEQ:NM_130724
FBtr0070612	CG15239-RA	REFSEQ:NM_130725
FBtr0070613	Glos-RA	REFSEQ:NM_130730
FBtr0070616	Vap33-RB	REFSEQ:NM_130731
FBtr0070617	Vap33-RA	REFSEQ:NM_206625
FBtr0070618	Vap33-RC	REFSEQ:NM_206624
FBtr0070624	CG6414-RA	REFSEQ:NM_130733
FBtr0070625	CG6428-RA	REFSEQ:NM_130732
FBtr0070626	lva-RC	REFSEQ:NM_080325
FBtr0070627	CG2938-RB	REFSEQ:NM_130729
FBtr0070634	lncRNA:roX1-RA	REFSEQ:NR_002098
FBtr0070635	lncRNA:roX1-RB	REFSEQ:NR_002097
FBtr0070638	brn-RA	REFSEQ:NM_057553
FBtr0070639	cib-RA	REFSEQ:NM_167001
FBtr0070640	cib-RC	REFSEQ:NM_167002
FBtr0070641	cib-RB	REFSEQ:NM_080326
FBtr0070642	dgt4-RA	REFSEQ:NM_131922
FBtr0070643	tyf-RB	REFSEQ:NM_131924
FBtr0070644	GlcAT-I-RA	REFSEQ:NM_167003
FBtr0070645	CG15570-RA	REFSEQ:NM_131926
FBtr0070646	CG12691-RA	REFSEQ:NM_131929
