tx_name,gene_id,nexon,tx_len,utr5_len,utr3_len
NM_001258908,12797875,1,508,194,134
NM_001298633,12797875,1,686,194,312
NR_001600,3772609,1,211,0,0
NM_001298634,12797876,1,1206,160,551
NM_001258909,12797876,1,591,61,35
NM_164418,326175,1,1351,19,75
NM_001272940,326175,1,1565,19,289
NM_175947,326263,1,1387,76,93
NM_001272941,326174,1,1612,287,92
NM_164419,326174,1,1343,18,92
NM_164420,33330,1,1341,11,148
NR_073687,14462659,3,1166,0,0
NM_078729,33335,4,1421,122,105
NM_058077,33336,4,1298,6,98
NM_001272944,33339,10,5009,178,1885
NM_001272946,33339,10,6069,1235,1885
NM_001298635,33339,9,4915,471,1885
NM_001369974,33339,10,5009,178,1864
NM_001369975,33339,10,5009,178,1825
NM_001369976,33339,10,5009,178,787
NM_134763,33339,10,5305,471,1885
NM_001272945,33339,10,6000,184,2870
NM_134765,33341,2,1030,98,176
NM_001201751,33343,7,6320,2037,1760
NM_164429,33343,8,6089,1806,2468
NM_164430,33343,7,6019,1736,2468
NM_001258910,33343,7,12385,2037,8533
NM_134766,33343,6,4159,656,1688
NM_164428,33343,8,5037,754,1760
NM_057657,33346,2,1591,210,550
NM_001272948,33346,2,1713,147,735
NR_124023,19834890,2,723,0,0
NM_001272949,33348,3,690,64,80
NM_134769,33348,3,790,64,180
NM_164435,319033,1,844,97,48
NM_001298636,319033,1,1031,97,235
NM_134772,326177,1,1184,97,121
NM_164436,33354,12,2999,172,526
NM_134774,33354,12,3421,594,526
NM_134776,33357,1,541,75,79
NM_164438,117498,2,1170,0,0
NM_001258913,33361,12,5420,215,1740
NM_164443,33361,13,5657,449,1740
NM_205889,33361,13,5663,449,1740
NM_134784,33365,1,1154,109,127
NM_001272956,33365,1,1230,109,203
NR_073690,14462664,1,819,0,0
NM_001103581,33367,19,6049,1026,496
NM_001272958,33367,18,5953,1026,496
NM_134786,33367,19,6406,1026,853
NM_001258915,33367,19,5930,412,853
NM_001272957,33367,20,8459,412,853
NM_001103580,33367,18,6721,777,1324
NM_001042863,33367,17,6246,757,974
NM_001042862,33367,18,8783,757,982
NM_001272963,33369,4,1243,279,226
NM_134788,33369,4,1088,124,226
NM_134790,33371,3,813,134,172
NM_134791,33372,4,2130,95,121
NM_134793,33374,1,651,99,105
NR_037728,10178915,2,1374,0,0
NR_047875,12797878,5,2447,0,0
NR_124024,19834900,1,822,0,0
NM_001272964,50190,2,528,116,217
NM_144095,50190,2,380,74,111
NM_001103583,33377,9,3764,259,598
NM_001272966,33377,9,3746,259,598
NM_001272965,33377,10,3707,322,598
NM_001103582,33377,9,3621,236,598
NM_001272968,33377,9,3873,236,850
NM_134796,33377,9,3563,31,598
NM_001272967,33377,9,3815,31,850
NM_001272969,33379,7,3701,357,494
NM_057405,33379,7,4396,357,1189
NM_164448,33379,7,4612,573,1189
NM_001272970,33379,7,3520,176,494
NM_164449,33379,7,4173,134,1189
NM_001272971,48440,4,2188,116,425
NM_164451,48440,5,2173,116,413
NM_078730,33381,6,1209,0,0
NM_001272974,33384,3,1216,158,116
NM_134800,33384,3,1219,158,116
NR_124026,19834736,1,317,0,0
NR_073691,14462665,2,1004,0,0
NM_001032048,33386,4,2891,199,157
NM_164453,33386,4,3144,199,410
NM_134804,33389,5,3910,129,211
NM_164456,33390,7,2709,281,208
NM_001272978,33390,7,2990,281,492
NM_134805,33390,7,2798,281,492
NM_134806,33391,1,1038,30,534
NR_073692,14462666,2,3405,0,0
NR_073694,14462668,1,1082,0,0
NM_001103587,5740699,3,720,46,20
NM_134812,33399,7,2956,137,215
NM_164461,33401,5,2325,290,304
NM_134813,33401,5,2331,296,304
NM_164462,33401,5,2235,200,304
NM_164463,33401,5,2112,129,252
NM_001014460,33402,5,2585,727,973
NM_001032049,33402,5,1720,548,287
NM_134814,33402,5,2395,548,962
NR_073696,14462670,1,676,0,0
NM_134817,33405,3,1322,144,53
NM_001272990,33405,3,2182,144,913
NR_037729,10178841,2,622,0,0
NR_047876,10178841,2,922,0,0
NR_073697,10178841,2,2104,0,0
NM_164470,59225,1,808,34,18
NM_164471,33408,2,584,116,39
NM_134819,33408,3,686,116,57
NM_134821,33410,1,764,11,24
NM_164474,319042,1,693,78,78
NM_001201754,319042,2,708,78,171
NM_134824,33413,4,721,79,201
NM_001272995,3771890,14,7704,883,290
NM_001032399,3771890,14,8481,883,1067
NM_001272999,33419,3,4318,603,1156
NM_134829,33419,3,4145,430,1156
NM_164480,33419,3,3807,92,1156
NM_001273000,33419,3,3896,181,1156
NM_134832,33422,2,929,43,58
NM_001273004,33423,3,3380,373,91
NM_134833,33423,3,3618,373,329
NM_164481,33423,3,3232,225,91
NM_001273003,33423,3,3655,410,329
NM_001273005,33424,4,1806,174,69
NM_134834,33424,3,1869,237,69
NM_134835,33425,2,1493,97,16
NM_001382161,54520447,1,446,116,195
NM_134837,33427,9,5501,638,2964
NM_001258919,33427,9,5660,797,2964
NM_134840,33431,2,2025,66,495
NM_001273012,33431,2,3762,66,2232
NM_001273013,14462674,1,245,44,30
NM_057963,33432,3,3723,693,1263
NM_164485,33432,3,3177,147,1263
NM_164486,33432,3,4230,1200,1263
NM_164488,33432,3,3216,186,1263
NM_164490,33435,4,1734,75,660
NM_164489,33435,4,2831,75,1757
NM_057692,33435,4,3223,75,2149
NM_175949,33435,4,3223,75,1684
NR_133065,26067386,2,1568,0,0
NR_073704,14462676,1,340,0,0
NM_134847,33442,1,1493,176,171
NM_134849,33444,2,785,77,252
NM_001273016,33444,2,1070,77,537
NM_001273018,33446,3,785,230,75
NM_001103592,33446,2,587,32,75
NM_134852,33447,2,1234,173,233
NM_001258920,12798530,1,596,246,221
NR_156778,36786378,1,897,0,0
NR_073705,14462677,1,252,0,0
NM_001273019,14462678,1,476,38,0
NM_134854,33449,2,830,101,81
NM_078734,33450,2,1363,94,129
NM_164491,33451,2,757,66,58
NM_001273021,33451,2,1647,66,948
NM_134855,33452,2,1146,81,69
NM_078735,33453,3,1140,0,27
NM_175951,33453,3,1152,0,27
NM_205893,33455,8,3248,579,89
NM_001273025,326154,11,2261,56,330
NM_001273023,326154,11,2476,298,330
NM_134859,326154,11,2613,435,330
NM_164493,326154,11,2710,532,330
NM_164495,326154,11,2754,576,330
NM_164494,326154,11,2401,223,330
NM_001273022,326154,10,2704,526,330
NM_001273024,326154,11,2530,352,330
NR_047877,12798531,1,94,0,0
NM_164496,33458,6,2665,90,292
NM_080360,33458,5,2714,139,292
NM_164497,33458,3,2251,15,292
NM_134861,33460,3,1730,101,63
NM_001273031,33462,4,2524,439,1626
NM_134862,33462,4,912,84,369
NM_001258921,33462,4,2221,81,1681
NM_164498,33462,3,1010,182,369
NM_134864,33465,5,3307,109,399
NM_001273032,33465,5,3586,109,678
NM_134866,33467,2,863,82,64
NM_001273034,33467,2,990,82,191
NM_058115,33469,2,664,91,69
NM_001273035,33471,3,548,16,79
NM_134867,33471,3,644,16,175
NM_164500,33471,2,556,96,79
NR_073706,14462679,1,490,0,0
NM_164503,33474,5,2819,672,386
NM_001273038,33474,5,3050,672,617
NM_078737,33474,5,2693,546,386
NM_134869,33475,2,1930,101,164
NM_134874,33480,2,1066,63,94
NM_134875,33481,5,1884,526,200
NM_134879,33485,2,1307,9,263
NM_078738,33487,3,494,115,133
NM_164506,33487,4,391,74,65
NM_164508,33487,4,415,98,65
NM_001273041,33487,4,715,74,389
NM_164507,33487,5,619,74,293
NM_134881,33488,6,2998,428,881
NM_164509,33488,7,3088,518,881
NM_164510,33488,6,2889,319,881
NM_134883,33490,1,998,94,49
NM_134885,33492,3,1785,377,433
NM_001273042,319043,1,658,249,43
NM_164512,319043,1,482,73,43
NM_080155,47757,2,1433,152,237
NM_001144302,33496,10,5337,206,286
NM_001347818,33496,11,7025,1858,286
NM_164516,33496,13,7956,2648,286
NM_001273044,33496,11,7591,1894,852
NM_078740,33496,12,9683,2480,2181
NM_001144301,33496,11,6134,437,852
NM_164517,33496,12,7243,1369,852
NM_001144303,33496,12,7438,1564,852
NM_001144300,33496,10,5228,97,286
NM_057588,33498,7,3478,693,1465
NM_057589,33498,8,3493,693,1465
NM_001273045,33498,8,3390,605,730
NM_134297,33498,9,3409,609,1465
NM_134298,33498,8,3395,610,1465
NM_001014462,33498,8,6976,608,5048
NM_001298640,33498,7,3187,387,1465
NM_134299,33498,8,3407,622,1465
NM_134300,33498,9,3425,625,1465
NM_057456,33501,3,1850,168,254
NM_001298642,33503,2,1221,120,45
NM_134888,33503,2,1323,120,147
NM_058024,44441,5,1710,129,564
NM_001273047,48421,7,4221,632,478
NM_001144305,48421,7,4255,627,478
NM_143807,48421,7,4199,595,478
NM_164519,48421,6,4160,595,478
NM_134890,33509,4,3261,830,607
NM_134892,33511,4,2734,340,279
NM_001273049,33511,3,2677,283,279
NM_134894,33513,6,2906,162,323
NM_134896,33515,3,1253,108,221
NM_001298644,33516,2,1702,504,166
NM_001298645,33516,4,1450,252,166
NM_134897,33516,4,1556,127,166
NM_164522,33516,3,1650,221,166
NM_001298646,33519,2,1306,106,105
NM_134900,33519,1,1383,183,105
NM_001273054,33519,1,1288,88,105
NM_164523,33521,4,1319,179,51
NM_134902,33521,3,1409,116,51
NM_001273055,33521,3,1673,116,315
NM_001273056,33522,3,869,389,63
NM_134903,33522,2,598,118,63
NM_139356,117361,7,7616,272,114
NM_001273057,117361,7,8161,272,656
NR_133066,14462681,1,116,0,0
NR_001612,3772228,1,131,0,0
NM_134904,33524,6,8622,630,675
NM_001144306,33524,6,8417,119,675
NM_080208,49780,1,1327,48,268
NM_134905,33527,1,855,130,122
NM_078741,33530,5,2221,123,355
NM_001273064,33532,6,2383,660,787
NM_134907,33532,5,2259,275,787
NM_001258923,33532,5,2733,275,1261
NM_134912,33537,2,406,20,17
NM_001298648,33537,2,468,20,79
NR_124039,19835786,1,642,0,0
NR_124043,19834737,1,378,0,0
NM_164530,33538,4,2192,380,195
NM_001298650,33538,4,1908,96,195
NR_124044,19834849,1,770,0,0
NM_134918,33543,15,3475,773,332
NM_134917,33542,5,1646,205,31
NM_001298653,33545,7,1838,276,104
NM_134920,33545,7,1835,273,104
NM_205898,2768938,6,1594,130,60
NM_001103597,2768939,6,1583,33,167
NM_001298654,33547,6,1595,35,159
NM_134922,33547,6,1631,35,195
NM_134923,33548,6,1565,97,67
NM_134925,33551,1,973,104,197
NM_078742,33555,4,1393,97,99
NR_124046,19834755,1,406,0,0
NM_001103603,5740264,1,662,112,289
NM_134930,33557,1,640,130,93
NM_134931,326179,1,1177,172,459
NM_001298656,326179,1,1376,172,658
NM_134932,33559,3,1338,46,41
NM_001298657,33560,5,2022,112,539
NM_134933,33560,5,2028,112,539
NM_001103604,33561,3,1072,151,159
NM_134936,33563,4,2885,104,96
NM_143715,44228,4,651,91,80
NM_164537,44228,3,738,178,80
NM_164538,33568,4,1964,32,39
NM_164539,261610,4,2543,200,408
NM_001144307,261610,4,2411,68,408
NR_124048,19835145,1,694,0,0
NR_124049,14462683,2,1241,0,0
NR_073709,14462683,2,733,0,0
NM_057947,33569,2,755,182,219
NM_001298659,33569,2,667,94,219
NR_124050,19834766,1,439,0,0
NR_124051,19835960,1,342,0,0
NM_134942,33573,4,1674,112,131
NM_001273069,33573,4,1832,112,289
NM_164544,33575,3,2390,35,183
NM_134944,33575,2,2275,157,183
NM_134946,33577,2,2398,78,328
NM_134948,33579,3,1484,114,152
NR_124052,19836131,2,427,0,0
NM_080527,49638,3,2572,658,1668
NM_001298661,49638,3,1799,758,774
NM_164545,49638,3,2330,758,1326
NR_124053,19835843,2,1035,0,0
NR_073710,14462684,1,457,0,0
NM_001273070,14462685,1,414,54,195
NR_124055,19834825,1,1324,0,0
NM_001298662,44058,3,2303,189,500
NM_079947,44058,3,1720,8,98
NM_001103605,5740176,8,2612,589,259
NM_001298663,5740176,8,2989,589,636
NM_001169392,8674117,2,300,29,7
NM_001169393,8674015,2,401,50,129
NM_001169394,8674059,2,363,26,94
NM_001169395,8673960,2,361,17,95
NM_001258930,12798551,2,361,22,117
NR_124056,19835452,1,334,0,0
NM_134959,33595,2,542,72,215
NM_134960,33597,5,2804,378,302
NM_164553,33597,4,2228,360,302
NM_057373,33599,11,3086,457,1132
NM_164554,33599,10,2840,457,568
NM_001273071,33599,9,4557,303,2721
NM_001273072,33599,10,4380,457,2126
NM_001144310,33599,7,2428,0,568
NM_001382005,33600,12,5287,590,1217
NM_001382004,33600,11,6205,298,2427
NM_001273074,33601,19,7632,642,966
NM_001273075,33601,19,8194,1921,1044
NM_001273076,33601,21,7752,642,1044
NM_001273078,33601,20,7617,642,1044
NM_001273077,33601,19,7922,642,1334
NM_134962,33601,14,6391,118,1044
NM_001273080,14462687,2,318,25,38
NM_001273079,33601,7,2299,145,1044
NR_047884,12798552,1,68,0,0
NM_001258932,33602,4,3507,435,837
NM_001258933,33602,4,3394,322,837
NM_057535,33602,4,3424,352,837
NM_164557,33602,4,3513,441,837
NM_001258934,33602,4,3435,363,837
NM_164558,33602,4,3630,558,837
NM_164556,33602,3,3485,413,837
NM_164559,319047,1,676,83,146
NM_001258935,33604,13,10130,277,481
NM_134964,33604,12,10106,277,481
NM_001258936,33604,13,10071,218,481
NM_143795,47399,4,3750,264,2430
NM_164561,47399,4,2928,1068,654
NR_073713,14462689,1,511,0,0
NR_073714,14462690,1,811,0,0
NM_057382,33607,1,1425,109,347
NM_057486,33608,1,2346,358,632
NR_124058,19835085,2,532,0,0
NM_134966,33609,7,3516,184,383
NM_164562,33609,8,3437,184,283
NM_001273081,33609,8,3518,265,283
NM_134967,33610,8,2942,285,236
NM_001169396,33610,2,1269,112,236
NM_001273083,14462692,1,789,24,66
NR_124061,19834796,1,537,0,0
NM_001103606,5740391,1,401,51,98
NM_134970,33615,1,687,72,300
NM_134971,33616,1,566,72,170
NM_001144317,33617,1,295,13,54
NM_134972,14462693,1,438,59,91
NM_001273085,33619,10,5112,432,834
NM_078745,33619,9,5065,432,634
NM_001273084,33619,9,6378,432,1947
NR_003753,5740382,1,116,0,0
NM_080008,44382,3,1168,20,185
NM_057754,33621,4,2055,58,107
NM_001298670,33621,4,2202,58,254
NM_134973,33622,1,1925,70,157
NR_073716,14462694,2,552,0,0
NM_144384,53550,1,1162,25,57
NM_057428,33629,2,587,64,136
NM_001273089,33629,2,659,122,150
NR_124063,19834909,1,538,0,0
NR_073717,14462695,1,666,0,0
NR_124065,14462695,2,1187,0,0
NM_134976,33630,2,795,78,99
NM_164578,46015,7,1874,483,257
NM_164577,46015,10,4595,483,1400
NM_080127,46015,11,3388,483,196
NM_001169397,46015,13,5250,483,1875
NM_001316378,46015,13,5263,483,169
NM_001316379,46015,14,5334,483,1875
NM_164576,46015,12,5179,483,169
NM_001273090,46015,13,7436,541,2293
NM_001273091,46015,13,7798,483,4423
NM_001169398,46015,12,5127,431,169
NM_134978,33635,6,2730,354,216
NM_078747,33636,7,4181,751,931
NM_164580,33636,7,3846,416,931
NM_001103609,33636,7,4546,751,1296
NM_001103608,33636,7,4209,456,1296
NR_047886,12798555,1,61,0,0
NR_124069,19836217,2,395,0,0
NR_124070,19835266,1,361,0,0
NR_124071,19835483,2,426,0,0
NR_124072,19836091,1,451,0,0
NM_001273092,33637,3,941,384,221
NM_134979,33637,3,943,74,221
NM_001103610,33638,3,2675,624,617
NM_058068,33638,2,2361,283,617
NM_134983,33642,5,2920,398,92
NM_134985,33644,9,4819,142,372
NM_164582,33644,9,4864,142,372
NM_001273094,33644,9,5201,142,754
NM_001144318,318826,3,2033,167,51
NM_175956,318826,3,1958,167,51
NM_134986,33645,2,606,86,91
NM_001258938,12798556,2,603,2,58
NM_001103611,5740338,5,882,52,506
NM_001103612,5740515,5,882,442,101
NM_001103613,5740515,4,940,500,101
NM_001103614,5740515,3,492,52,101
NM_001258939,12798557,3,303,32,22
NM_001273098,33647,2,557,69,131
NM_001273097,33647,2,536,48,131
NM_134988,33647,1,557,69,131
NM_134990,33649,4,1863,79,125
NM_144084,50178,3,460,103,69
NM_001298674,33655,2,1948,249,187
NM_134994,33655,2,1807,108,187
NM_134996,33657,2,1411,181,189
NM_134997,33658,3,2729,64,88
NR_124074,19835094,2,1255,0,0
NM_001042866,4379888,2,1394,17,129
NM_001298675,4379888,2,1519,17,254
NM_135002,33665,2,3532,31,90
NM_001273114,14462699,3,747,49,56
NM_164594,33667,2,1399,87,661
NM_135004,33667,3,1096,35,116
NM_001298676,33668,3,3031,147,127
NM_135005,33668,3,3034,147,127
NM_135006,33670,1,1446,138,168
NM_001103615,5740672,6,3223,530,2012
NM_001273115,5740672,6,3223,530,1991
NM_001169401,8674082,1,643,86,2
NM_001273116,8674082,2,995,86,354
NM_175962,33677,5,1506,123,438
NM_135013,33677,5,1403,14,18
NM_135015,33679,4,1432,345,109
NM_135017,33681,5,3544,1464,985
NM_001273118,33681,5,3932,1464,1373
NM_001169402,33685,7,2105,342,272
NM_135021,33685,6,2257,342,457
NM_001273123,33685,6,2295,380,457
NM_135023,33687,1,1734,89,175
NM_135024,33689,3,1882,110,185
NM_001014465,33690,14,3586,602,149
NM_001258952,33690,15,3644,639,149
NM_001258953,33690,13,4340,639,1016
NM_164600,33690,14,3808,602,833
NM_001273127,33690,14,5128,639,1708
NM_135027,33693,3,2263,291,160
NM_135028,33694,2,1222,82,90
NM_001273129,33695,7,2300,513,305
NM_135029,33695,7,2731,513,736
NM_078751,33701,2,3950,32,57
NM_135035,33702,5,1318,110,71
NM_001273132,33704,5,1693,105,457
NM_080361,33704,4,1784,105,491
NM_135039,33709,7,2411,74,69
NM_001042868,4379887,11,6234,67,155
NM_001042869,4379886,2,668,63,125
NM_135041,33712,2,1153,81,70
NM_135042,33714,1,1986,110,73
NM_135043,33715,3,1138,161,68
NM_001273134,33715,3,1170,161,100
NM_135045,33717,2,1194,286,149
NM_001042870,318872,17,5745,415,824
NM_001273138,318872,18,5797,415,837
NM_001273139,318872,17,5754,415,824
NM_001273136,318872,17,5934,415,1091
NM_001273137,318872,17,6012,415,1040
NM_001273141,33725,2,1130,268,265
NM_001273140,33725,3,908,46,265
NM_135053,33725,2,960,98,265
NM_164615,33727,9,6000,283,377
NM_164616,33727,9,6101,219,542
NM_164617,33727,9,5635,102,193
NM_001042872,4379885,2,3042,413,1993
NM_144359,53471,2,3042,1402,758
NM_001298680,4379885,1,1228,324,268
NM_001042871,4379885,3,2665,324,1705
NM_164618,53471,3,2665,1313,446
NM_001273144,53471,3,1396,44,446
NM_001273145,53471,2,1488,44,562
NM_001038786,3885607,6,2691,415,1892
NM_001038788,3885607,6,2415,139,1892
NM_001169411,326173,6,2415,1282,587
NM_001273147,14462701,5,2308,639,1261
NM_001273149,14462701,6,2691,1022,1261
NM_001273151,14462701,6,2415,746,1261
NM_135056,326173,6,2691,1558,587
NM_164622,326173,5,2308,1175,587
NM_001038785,326173,5,2431,1298,587
NM_001038787,3885607,5,2431,155,1892
NM_001273150,14462701,5,2431,762,1261
NM_001273148,14462701,5,2281,612,1261
NM_164623,326173,5,2281,1148,587
NM_135058,33734,3,1605,241,197
NM_078755,33736,2,848,201,236
NM_164624,33736,2,772,125,236
